CHEM_COMP_ID,SMILES
72L,c1ccc(Nc2nc(-c3cccc(-c4ccccc4)c3)c3[nH]cnc3n2)cc1
PO5,c1ccc(Nc2nccc(-c3cnn4nc(N5CCOCC5)ccc34)n2)cc1
LZ4,c1ccc(Nc2cnccn2)cc1
U55,c1ccc(Nc2ccncn2)cc1
CT7,c1ccc(Nc2ccnc3ccnn23)cc1
FBL,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1
FAL,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1
0BX,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1
BWP,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1
BYP,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1
2AN,c1ccc(Nc2cccc3ccccc23)cc1
DT1,c1ccc(Nc2cc(OCC3CCCCC3)nc3ncnn23)cc1
DT5,c1ccc(Nc2cc(OC3CCCCC3)nc3ncnn23)cc1
MFQ,c1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1
MFP,c1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1
3FP,c1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1
QQ2,c1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1
PDY,c1ccc(Nc2cc(N[C@@H]3CCCNC3)nc3ccnn23)cc1
DT4,c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1
DT2,c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1
CT9,c1ccc(Nc2cc(NC3CCCCC3)nc3ccnn23)cc1
PVB,c1ccc(Nc2ncnc3[nH]cnc23)cc1
DTQ,c1ccc(Nc2ncnc3ccccc23)cc1
Z02,c1ccc(NCc2ccccn2)cc1
X6A,c1ccc(NCc2cncnc2)cc1
X63,c1ccc(NCc2cncnc2)cc1
X62,c1ccc(NCc2cncnc2)cc1
X72,c1ccc(NCc2cncnc2)cc1
X88,c1ccc(NCc2cnccn2)cc1
X86,c1ccc(NCc2cccnc2)cc1
24Z,c1ccc(NCc2cccnc2)cc1
X73,c1ccc(NCc2cccnc2)cc1
X07,c1ccc(NCc2cccnc2)cc1
X75,c1ccc(NCc2cccnc2)cc1
X69,c1ccc(NCc2cccnc2)cc1
X87,c1ccc(NCc2cccnc2)cc1
22Z,c1ccc(NCc2cccnc2)cc1
X4B,c1ccc(NCc2cccnc2)cc1
X84,c1ccc(NCc2cccnc2)cc1
X76,c1ccc(NCc2cccnc2)cc1
F18,c1ccc(N=Nc2cn[nH]c2)cc1
BLZ,c1ccc(COc2csc(-n3cnc4ccccc43)c2)cc1
NNN,c1ccc(CNc2ncnc3ccnn23)cc1
RRC,c1ccc(CNc2ncnc3[nH]cnc23)cc1
OLO,c1ccc(CNc2ncnc3[nH]cnc23)cc1
NS9,c1ccc(CNc2ccnc3ccnn23)cc1
19Z,c1ccc(CNc2ccccc2)cc1
X96,c1ccc(CNc2ccccc2)cc1
XA0,c1ccc(CNc2ccccc2)cc1
X9I,c1ccc(CNc2ccccc2)cc1
X65,c1ccc(CNc2ccccc2)cc1
I73,c1ccc(CNc2cc(NCC3CCNCC3)nc3ccnn23)cc1
I74,c1ccc(CNc2cc(NCC3CCNCC3)nc3ccnn23)cc1
