"CHEM_COMP_ID","SMILES"
"FD4","CS(=O)(=O)NCCc1ccccc1"
"FD4","CC(=O)N1CCN(CCCc2ccccc2)CC1"
"RL1","CC(N)=O"
"RL1","c1ccccc1"
"RL1","c1ccncc1"
"RL1","CC(=O)NCCc1ccccc1C"
"3JQ","Cl.NC(=O)C1CCCCN1"
"SPG","c1ncc2[nH]cnc2n1"
"SPG","c1cncnc1"
"8ZB","c1ncc2[nH]cnc2n1"
"SPG","OCC1OCC(O)C1O"
"FZE","C1CCCCC1"
"H5T","c1ccccc1"
"FZE","c1ccncc1"
"TGA","OC1CCCCO1"
"HSR","CC(N)=O"
"3JQ","CS(=O)(=O)N1CCCNCC1.Cl"
"3JQ","CNCCNS(C)(=O)=O.Cl"
"2LR","CC(N)=O"
"2LR","NCC=O"
"2LR","c1ccccc1"
"HSR","OC1CCCCO1"
"CER","CC(N)=O"
"8ZB","c1cncnc1"
"CZM","c1ccccc1"
"58W","CC(N)=O"
"58W","C1CCC1"
"RL1","Oc1ccc(CN2CCc3ccccc3C2)cc1"
"58W","c1ccccc1"
"G1N","c1ccncc1"
"58W","CC(=O)Nc1ccccc1O"
"G1N","c1cscn1"
"KZ4","CC(N)=O"
"KZ4","NCC=O"
"J8H","c1ccccc1"
"RL1","Oc1ccccc1CN1CCc2ccccc2C1"
"FZJ","CC(N)=O"
"FZJ","c1ccncc1"
"2GZ","CC(N)=O"
"FZJ","c1cncnc1"
"9X4","CC(N)=O"
"50E","c1cn[nH]c1"
"9X4","C1CCC1"
"9X4","c1c[nH]cn1"
"9X4","c1cocn1"
"9X4","c1ccccc1"
"8PU","c1cnoc1"
"64F","c1ccccc1"
"64F","c1cn[nH]c1"
"8PU","c1ccccc1"
"CN4","CC(N)=O"
"CN4","c1ccccc1"
"CN4","C1CNCCN1"
"8PU","Oc1ccc(Br)cc1"
"58W","CC(C)(C(N)=O)c1ccccc1"
"CN4","CCCCS(=O)(=O)NC"
"GQ5","CC(N)=O"
"GQ5","c1ccc2[nH]cnc2c1"
"GQ5","c1c[nH]cn1"
"CM9","CC(N)=O"
"CM9","C1CCCCC1"
"CM9","NCC=O"
"CM9","c1ccncc1"
"GYT","CC(N)=O"
"PH0","CC(N)=O"
"724","O=C1CNC(=O)N1"
"PH0","NCC=O"
"724","CC(N)=O"
"724","NCC=O"
"724","c1ccccc1"
"724","c1cn[nH]c1"
"KO2","OC1CCCCO1"
"GBO","O=P(O)(O)O"
"R01","c1ccccc1"
"YBN","c1ccc2sccc2c1"
"YBN","c1ccccc1"
"GYT","OC1CCCCO1"
"XKA","c1cnccn1"
"XKA","c1cscn1"
"XL2","CC(N)=O"
"YBN","c1ccsc1"
"2GZ","NCC=O"
"2GZ","c1ccccc1"
"G4H","CC(N)=O"
"XL2","c1ccc2scnc2c1"
"G4H","c1ccc2[nH]cnc2c1"
"7NV","CC(N)=O"
"7NV","NCC=O"
"7NV","c1ccccc1"
"PH0","c1ccccc1"
"CJD","CC(N)=O"
"CJD","c1ccccc1"
"XL2","c1ccccc1"
"XL2","c1cscn1"
"G4H","c1c[nH]cn1"
"G4H","c1ccccc1"
"G4H","c1ccncc1"
"G4H","CC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1"
"XL2","Cc1cccc2sc(N)nc12"
"B48","c1cn[nH]c1"
"1D8","CC(N)=O"
"1D8","c1ccccc1"
"1D8","C1=CCNC1"
"G4H","CCC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1"
"1D8","CNC(C)c1cccc(Cl)c1"
"B48","c1cscn1"
"1D8","CNCc1cccc(Cl)c1"
"DO3","NCC=O"
"B48","c1ccsc1"
"3WH","c1ccc2[nH]ccc2c1"
"7B3","c1ccnnc1"
"7B3","c1cc[nH]c1"
"BLF","CC(N)=O"
"BLF","c1c[nH]cn1"
"JGZ","c1ccccc1"
"JGZ","c1cncnc1"
"JGZ","CNc1nccc(OC)n1"
"JGZ","CC(C)Nc1ncccn1"
"GNS","OC1CCCCO1"
"DUT","OCC1OCCC1O"
"DUT","O=P(O)(O)O"
"CJD","c1ccncc1"
"CJD","Cc1ccc(CN)cn1.Cl.Cl"
"CJD","CNCc1cccc(Cl)c1"
"DUT","c1cncnc1"
"0F1","c1ccc2sccc2c1"
"0F1","c1ccccc1"
"0F1","c1ccsc1"
"LQY","CC(N)=O"
"LQY","NCC=O"
"25V","CC(N)=O"
"BLF","c1ccc2[nH]ccc2c1"
"BLF","c1ccccc1"
"BLF","c1cc[nH]c1"
"CWA","c1c[nH]cn1"
"CWA","c1ccccc1"
"25V","c1ccccc1"
"JGZ","CNc1ncccn1"
"25V","c1ccncc1"
"25V","c1ccc2ncccc2c1"
"JZD","c1ccccc1"
"9RS","c1ccccc1"
"9RS","c1cn[nH]c1"
"3FD","Nc1ncnc2nc[nH]c12"
"GMC","Nc1ncnc2nc[nH]c12"
"3FD","c1c[nH]cn1"
"GMC","c1c[nH]cn1"
"3FD","c1ccccc1"
"GMC","c1ncc2[nH]cnc2n1"
"GMC","c1cncnc1"
"3FD","c1ncc2[nH]cnc2n1"
"LQY","c1ccccc1"
"9RS","c1ccncc1"
"9RS","c1cc[nH]c1"
"8WR","c1c[nH]cn1"
"RAM","OC1CCCCO1"
"3FD","c1cncnc1"
"3FD","OCC1OCC(O)C1O"
"3FD","CNCc1cccc(Cl)c1"
"8WR","c1ccccc1"
"8WR","c1cnccn1"
"H0J","c1ccncc1"
"H0J","c1ccsc1"
"DUH","CC(N)=O"
"DUH","c1ccccc1"
"26Z","c1ccccc1"
"26Z","c1cscn1"
"DUH","c1cn[nH]c1"
"PYV","c1ccc2ccccc2c1"
"PYV","c1ccccc1"
"PYV","c1ccncc1"
"PYV","CS(=O)(=O)NCc1ccccn1"
"STR","C1CCCCC1"
"TFV","c1ccncc1"
"OZS","CC(N)=O"
"BA4","CC(N)=O"
"BA4","c1ccccc1"
"TFV","c1cncnc1"
