CHEM_COMP_ID,SMILES
COH,C1=CC2=[N+]3C1=Cc1ccc4n1[Co-2]31n3c(ccc3=CC3=[N+]1C(=C4)C=C3)=C2
COO,c1ncc2ncn([C@@H]3CCCO3)c2n1
COT,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSCC(=O)NCCc1c[nH]c2ccccc12
COW,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSC(=O)c1ccccc1
COZ,c1ncc2ncn([C@H]3CCCO3)c2n1
D7K,c1ccc(Cc2scc[n+]2Cc2cncnc2)cc1
DCA,c1ncc2ncn([C@H]3CCCO3)c2n1
DCC,c1ncc2ncn([C@H]3CCCO3)c2n1
DDH,C1=CC2=[N+]3C1=Cc1ccc4n1[Fe-2]31n3c(ccc3=CC3=[N+]1C(=C4)C=C3)=C2
DG1,O=C(c1ccncc1)C1C=CN([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)OC[C@H]3CC[C@@H](n4cnc5cncnc54)O3)O2)C=C1
DHE,O=C1CC2=Cc3ccc4n3[Fe-2]35n6c(ccc6=C4)=CC4=[N+]3C(=CC1=[N+]25)CC4=O
DN4,O=[PH](OC[C@@H]1CC[C@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@H]1CC[C@H]([n+]2ccccc2)O1
DPM,c1c[nH]c(Cc2ccc[nH]2)c1
DTB,O=C1NCCN1
EAD,O=C(c1ccncc1)C1C=CN([C@@H]2CC[C@@H](CO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4cnc5cncnc54)O3)O2)C=C1
EEM,c1ncc2ncn([C@@H]3CCCO3)c2n1
EN0,c1ncc(C[n+]2ccsc2)cn1
ENA,O=[PH](OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1)O[PH](=O)OC[C@@H]1CC[C@H](n2cnc3c2nc[n+]2cc[nH]c32)O1
EPY,c1ccccc1
ESG,O=C1CCC(=O)N1
F43,O=C1CC2CC3=[N+]4[C@@]2(C[C@H]2CCC5=[N+]2[Ni-2]42N4C(=C3)CCC4=C3C(=O)CC[C@H]4C[C@@H](C5)[N+]2=C34)N1
FA8,O=C1N=C2[C@@H](Nc3ccccc3N2CCCCCO[PH](=O)O[PH](=O)OC[C@@H]2CC[C@@H](n3cnc4cncnc43)O2)C(=O)N1
FAA,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4cnc5cncnc54)O3)c3ccccc3[n+](Cc3ccccc3)c-2c(=O)[nH]1
FAB,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4cnc5cncnc54)O3)c3ccccc3[nH+]c-2c(=O)[nH]1
FAD,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4cnc5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1
FAE,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4c[nH+]c5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1
FAM,c1ncc2ncn([C@H]3CCCO3)c2n1
FAO,O=C1NC(=O)[C@@H]2Nc3ccccc3N(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4cnc5cncnc54)O3)[C@H]2N1
FAS,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@@H](n4cnc5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1
FCG,O=C1NC[C@]23CCCN2c2ccccc2N(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]2CC[C@H](n4cnc5cncnc54)O2)[C@@H]3N1
FCX,c1ncc2ncn([C@H]3CCCO3)c2n1
FDA,O=c1[nH]c2c(c(=O)[nH]1)Nc1ccccc1N2CCCCCO[PH](=O)O[PH](=O)OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1
FDE,C1=CC2=[N+]3C1=Cc1ccc4n1[Fe-2]31n3c(ccc3=CC3=[N+]1C(=C4)C=C3)=C2
FED,O=C1N=C2C(Nc3ccccc3N2CCCCCO[PH](=O)O[PH](=O)OC[C@H]2CC[C@H](n3cnc4cncnc43)O2)C(=O)N1
FFO,O=c1[nH]cnc2c1N[C@@H](CNc1ccccc1)CN2
FMI,O=C1CC2=Cc3ccc4n3[Fe]35n6c(ccc6=C4)=CC4=[N+]3C(=CC1=[N+]25)C=C4
FMN,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1
FNR,O=c1[nH]c2c(c(=O)[nH]1)Nc1ccccc1N2
FNS,O=c1nc2[nH]c3ccccc3[nH+]c-2c(=O)[nH]1
FON,O=c1nc[nH]c2c1N[C@H](CNc1ccccc1)CN2
FOZ,O=c1nc[nH]c2c1N[C@H](CNc1ccccc1)CN2
FRE,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@H](n2cnc3cncnc32)O1)NCCC(=O)NCCSC(=O)C=Cc1ccccc1
FSH,O=C1NC(=O)[C@@]2(N1)Nc1ccccc1N(CCCCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@@H](n3cnc4cncnc43)O1)C2=O
FYN,c1ncc2ncn([C@H]3CCCO3)c2n1
G27,c1ccc(CCCN2CCCCC2)cc1
GBI,c1ccccc1
GBP,c1ccccc1
GBX,O=C1CCc2c(cc3ccc4cccc5ccc2c3c45)C1=O
GDN,c1ccccc1
GGC,c1ccc2ccccc2c1
GIP,c1ccccc1
GNB,c1ccccc1
GPR,c1ccc2c(c1)CCc1ccccc1-2
GPS,c1ccc2c(c1)CCc1ccccc1-2
GRA,c1ncc2ncn([C@H]3CCCO3)c2n1
GSB,c1ccccc1
GSO,c1ccccc1
GTB,c1ccccc1
GTD,C1=CCC=CC1
GVX,c1ccccc1
H2B,O=C1N=CN=C2NCCN=C12
H4B,O=c1[nH]cnc2c1NCCN2
HAG,C1CCOC1
HAS,C1=CC2=[N+]3C1=Cc1ccc4n1[Fe-2]31n3c(ccc3=C4)=CC3=[N+]1C(=C2)C=C3
HAX,c1ncc2ncn([C@H]3CCCO3)c2n1
HBI,O=c1[nH]cnc2c1N=CCN2
HCC,O=C(C=Cc1ccccc1)c1ccccc1
HDD,O=C1CC[C@]2(CC3=Cc4ccc5n4[Fe]46N3C2=Cc2ccc(n24)C=c2ccc(n26)=C5)O1
HDE,O=C1CC[C@@]2(CC3=Cc4ccc5n4[Fe@]46N3C2=Cc2ccc(n24)Cc2ccc(n26)C5)O1
HEA,C1=CC2=[N+]3C1=Cc1ccc4n1[Fe-2]31n3c(ccc3=CC3=[N+]1C(=C4)C=C3)=C2
