CHEM_COMP_ID,Total Molweight,cLogP,H-Acceptors,H-Donors,Druglikeness,Rings
ZD7,438.533,4.439,7,1,1.0434,5
ZD7,,,,,,
ZD6,475.361,3.2678,6,1,3.2403,4
ZCY,265.161,-5.6703,9,4,-18.625,1
ZCT,634.544,1.365,14,6,2.1075,6
ZCM,244.06,0,0,0,-1,0
ZCL,234.081,-0.3372,3,2,-10.926,1
ZBZ,225.267,-1.9686,4,2,-7.6753,1
ZBU,345.041,-4.5696,9,4,-20.479,1
ZBT,143.253,1.1968,1,0,1.7937,1
ZBR,356.882,3.6549,0,0,-7.8241,1
ZBF,448.431,-3.76,12,6,-18.471,1
ZBD,597.575,3.7379,8,2,-15.751,3
ZBC,344.057,-5.12,9,4,-19.253,1
ZBA,464.509,1.4674,9,1,-9.2276,5
ZB6,231.315,0.8144,4,1,-8.0772,1
ZAW,184.198,0.7878,3,0,-0.86509,2
ZAT,408.469,0.8302,11,8,3.5651,2
ZAS,293.266,-1.5081,11,4,-10.154,3
ZAR,268.218,1.2376,5,1,-0.69098,2
ZAP,363.309,-1.195,8,5,-23.618,2
ZAN,506.197,-10.069,18,8,-21.535,3
ZAM,378.474,2.0115,6,1,5.3379,3
ZAL,171.239,-1.1926,3,2,-15.972,1
ZAH,320.344,0.8248,7,2,-10.846,2
ZAF,478.436,-0.2937,10,4,-38.753,2
ZAE,179.218,-0.862,3,2,-0.65456,1
ZAD,289.187,-4.8665,10,4,-14.642,2
ZAB,269.303,0.6231,5,2,-5.7304,2
ZAA,494.549,4.7491,8,1,-0.35255,5
ZA5,231.969,1.5809,5,4,-4.1824,1
ZA4,213.979,1.4801,5,4,-4.1824,1
ZA3,240.986,0.4577,8,4,-8.0463,1
ZA2,230.434,1.9853,5,4,-2.7803,1
Z9Z,698.93,5.8766,10,3,-7.8005,4
Z9M,259.15,-7.9892,9,6,-18.445,1
Z99,353.373,-0.3035,6,3,-3.8379,4
Z98,347.263,-6.402,10,5,-27.527,1
Z97,361.29,-5.9476,10,5,-30.076,1
Z96,522.047,3.5339,8,1,-26.297,5
Z94,233.226,0.1042,6,3,4.3275,2
Z93,427.439,1.432,8,2,3.3785,5
Z92,358.784,4.0772,7,2,4.7794,3
Z90,565.708,5.5447,6,2,-2.7829,4
Z8Z,688.891,5.5039,11,3,-7.747,4
Z8B,371.154,-0.5408,11,3,-4.2432,3
Z89,457.28,-0.8112,8,3,1.0388,3
Z88,278.126,1.5669,4,1,1.2677,1
Z87,355.465,3.9263,6,2,0.81353,3
Z86,533.651,4.7984,9,3,-1.7734,4
Z85,489.642,5.6591,7,2,-1.9538,4
Z84,490.63,4.6582,8,2,-1.9538,4
Z83,399.474,3.0656,8,3,0.87205,3
Z82,201.019,1.8699,2,1,-3.6342,1
Z81,378.381,2.2919,5,1,2.6836,4
Z80,318.871,4.6069,2,0,5.5785,3
Z79,260.269,-0.6694,7,3,2.6123,1
Z78,369.395,2.0995,6,3,4.6206,3
Z77,411.525,2.6693,6,3,5.041,3
Z76,684.802,3.8565,10,3,-5.7254,5
Z75,606.755,5.1662,7,3,4.1773,4
Z74,656.792,4.6171,9,3,-9.0443,4
Z73,270.335,2.6589,5,0,-0.4435,3
Z72,421.279,4.0624,6,1,-3.2086,4
Z71,425.439,2.6847,8,4,1.3599,3
Z70,184.198,-3.3588,6,4,-11.762,1
Z70,,,,,,
Z6X,242.357,4.1007,3,1,-27.688,0
Z6J,150.129,-2.1107,5,4,-2.9788,1
Z69,1421.86,10.965,24,14,-52.396,3
Z68,346.41,2.2819,7,2,-7.5773,3
Z67,425.439,2.6847,8,4,2.5974,3
Z64,,,,,,
Z64,351.413,2.2511,8,2,3.207,4
Z63,260.32,1.4925,5,2,0.19832,2
Z62,304.329,1.4014,7,2,-4.8717,2
Z60,299.805,3.1707,4,2,0.61954,2
Z5P,173.218,-0.1667,3,1,2.94,2
Z5K,324.366,2.1457,4,1,-3.9778,1
Z5A,911.329,-20.446,32,4,-43.123,5
Z59,374.46,1.0556,6,3,4.8125,3
Z57,351.148,-0.7203,7,6,-5.2684,2
Z48,,,,,,
Z48,413.48,3.0838,7,4,3.7996,4
Z47,332.395,1.5995,5,4,-5.9933,3
Z46,222.291,0.3193,5,3,-4.535,2
Z46,,,,,,
Z3R,296.395,2.2449,4,1,2.7945,3
Z3Q,290.275,-2.4714,10,4,-3.177,1
Z3E,209.244,-1.7125,4,2,-11.013,1
Z34,526.499,1.7001,11,4,-0.61864,4
Z31,309.392,3.6878,4,2,0.19832,3
Z30,,,,,,
Z30,236.318,0.649,5,3,-5.6922,2
Z2T,320.724,-0.5638,7,5,-3.1567,2
Z2M,225.25,2.2018,4,1,2.1314,4
Z2M,,,,,,
Z27,569.862,6.948,4,1,-5.3461,4
Z25,251.201,-1.7648,9,4,4.0616,2
Z23,399.4,3.2396,7,4,-3.3099,3
Z22,126.2,-0.2147,2,0,-3.0308,0
Z21,309.126,1.3891,7,1,0.8064,3
Z20,375.791,2.2686,7,2,-2.1441,3
Z19,176.179,-0.7527,5,3,-2.3837,2
Z19,,,,,,
Z18,381.511,2.7855,6,0,4.1613,0
Z17,279.255,-1.5288,9,3,3.3032,2
Z16,306.697,-0.8395,7,6,-3.3515,2
Z15,306.697,-0.8395,7,6,-3.3515,2
Z14,386.415,-3.1243,11,4,-1.0601,3
Z13,331.258,4.834,1,0,-6.3934,2
Z12,514.215,6.0943,5,1,1.7904,4
Z10,304.104,3.6279,5,4,-3.55,2
Z0W,169.187,1.5752,3,1,-0.82797,3
Z0W,,,,,,
Z0P,594.958,12.905,5,1,-29.867,0
Z0O,244.297,1.6761,5,2,0.90348,2
Z0M,391.49,0.681,7,4,-4.8458,3
Z0B,186.238,1.8876,2,0,-0.81206,3
Z0A,198.265,-0.095,4,2,-1.2851,1
Z06,239.998,0.5718,7,5,-3.0914,1
Z04,373.372,-1.3116,11,3,-3.2402,3
Z02,272.263,-0.0565,7,2,-4.6375,2
Z01,188.226,-2.6689,5,3,-7.3007,0
Z00,505.972,4.2887,7,2,-1.9029,3
Z,292.183,-4.3117,9,3,-17.848,2
YZY,594.958,12.905,5,1,-29.867,0
YZE,517.315,1.4133,9,5,-14.386,1
YZ9,234.206,1.1498,5,1,-15.4,2
YZ6,445.554,2.7269,7,4,1.6936,2
YYY,387.177,-7.943,13,5,-32.472,2
YYG,588.465,-4.0412,18,5,-26.903,4
YYA,213.276,-0.8187,4,3,-2.1322,0
YY3,499.617,3.4175,9,2,-5.4185,4
YY2,300.785,1.3604,5,2,1.2472,1
YY1,,,,,,
YY1,115.16,-0.154,3,1,-0.70309,1
YXZ,,,,,,
YXZ,392.875,1.6913,4,1,-1.8185,3
YXX,,,,,,
YXX,474.933,1.9679,6,0,-3.7875,4
YX1,267.237,-3.3125,10,7,-0.68478,1
YX0,289.283,-1.0019,8,5,2.2452,2
YWZ,482.523,3.2513,8,0,-18.151,2
YWO,315.328,-1.1291,7,2,-7.7775,2
YWN,274.359,-0.4248,6,4,-0.71814,1
YW2,500.72,6.5272,3,3,-9.6155,7
YVQ,300.324,1.0346,6,2,4.7338,5
YVQ,,,,,,
YVN,527.469,-4.9394,14,7,-11.427,2
YUN,371.237,4.1784,5,2,-0.032517,3
YUK,503.604,4.414,7,3,2.276,6
YUG,501.794,5.6103,2,1,-3.9954,2
YU7,326.782,3.1083,4,2,3.4948,3
YTZ,255.321,0.9067,5,2,4.867,2
YTT,326.351,1.1464,6,4,4.2817,3
YTR,233.266,1.2436,4,0,-0.83814,2
YTP,150.176,1.529,2,1,-1.8529,1
YTH,199.098,-6.8023,7,4,-29.751,0
YTB,149.145,-2.9483,5,5,0.33701,1
YSO,158.164,0.3798,4,2,-3.3973,2
YSO,,,,,,
YSL,458.724,7.2606,3,3,-18.197,3
YSH,299.329,1.7239,6,1,-8.1244,2
YSE,402.616,5.443,3,3,-5.6172,3
