"SMILES","COUNT(*)"
"C1=C2CCCCC2[C@@H]2CCC3CCC[C@@H]3[C@@H]2C1",8
"O=C(CSc1ncccn1)c1ccccc1",8
"O=c1[nH]c(-c2ccccc2)cc2ccccc12",8
"O=S(=O)(c1ccccc1)N1CCCC1",8
"O=c1[nH]c2ccccc2[nH]1",8
"O=C1C[C@@H](c2ccccc2)Oc2ccccc21",8
"O=c1[nH]c(=O)c2[nH]cnc2[nH]1",8
"c1ccc(C(c2ccccc2)c2ccccc2)cc1",8
"c1ccc(-c2ccccn2)cc1",8
"c1ccc(-c2ccc3cncnc3c2)cc1",8
"O=C1CCCCC1",8
"O=C1C=C2CCCCCCC=CCCC=CC=CC(=O)NC(=C1)C2=O",8
"c1ccc(CNc2ccccn2)cc1",8
"O=C1Nc2ccccc2C1=Cc1ccc[nH]1",8
"O=c1ccc2c(-c3ccccc3)c3ccccc3oc-2c1",8
"c1ccc(-c2ccc[nH]2)cc1",8
"O=C(CNC(=O)CNS(=O)(=O)Cc1ccccc1)NCc1ccccc1",8
"O=c1oc2ccccc2cc1Cc1ccccc1",8
"O=c1ccn(CCOc2ccccc2Oc2ccc3ccccc3c2)c(=O)[nH]1",8
"c1ccc2oncc2c1",8
"c1ccc(CCc2cccc(CC[C@@H]3CCCN3)c2)nc1",8
"C1=CCCC=C1",8
"c1ccc(-c2nccs2)cc1",8
"c1ccc(-c2ccc3ccccc3n2)cc1",8
"O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[C@H]3CCCCO3)O2)c(=O)[nH]1",8
"O=C1CNc2ccccc2N1",8
"O=S(=O)(c1ccccc1)c1ccccc1",8
"c1cc2ccc3cccc4ccc(c1)c2c34",8
"O=C(Nc1ccccc1)ON=C1CCCCO1",8
"O=c1cc[nH]c2ccccc12",8
"c1ccc(-n2ccnc2)cc1",8
"c1ccc(-c2ncc[nH]2)cc1",8
"C1CC[C@@H](OC2CCCO2)OC1",8
"c1ccc(Cn2cccn2)cc1",8
"c1ccn2ccnc2c1",8
"O=C1N[C@@H]2CSC[C@@H]2N1",8
"C1=NCCC1",8
"O=C1C=CCS1",8
"c1ccc2[nH]nnc2c1",8
"O=C1CCCN1c1ccccc1",8
"C1CCC(O[C@H]2CCCCO2)CC1",8
"O=c1[nH]cnc2c1NCCN2",8
"C1=CC(c2cccc(-c3ccccc3)c2)c2c[nH]nc2O1",8
"O=c1ccn([C@@H]2CC[C@@H](CO[PH](=O)O[PH](=O)O[C@H]3CCCCO3)O2)c(=O)[nH]1",7
"c1ccc2nccnc2c1",7
"c1ccc(Nc2ncnc3[nH]cnc23)cc1",7
"O=C(N[C@H]1CCc2ccccc21)[C@H](CC[C@H](OCc1ccccc1)C(=O)N[C@H]1CCc2ccccc21)OCc1ccccc1",7
"c1ccc(CCNCc2ccc3cccnc3c2)cc1",7
"c1ccc(-c2cnc3cccnn23)cc1",7
"c1ccc2c(c1)ncn2[C@H]1CCCO1",7
"O=C1N[C@@H]2CSC[C@H]2N1",7
"C1CC[C@H](O[C@H]2CCCOC2)OC1",7
"c1ccc2[nH+]c3ccccc3cc2c1",7
"c1ccc(CCOc2ccccc2)cc1",7
"c1ccc(-c2cccc(-c3ccccc3)c2)cc1",7
"O=C1C=CCO1",7
"O=c1[nH]cnc2c1N[C@@H](CNc1ccccc1)CN2",7
"c1ccc(CNc2cnc3ccccc3n2)cc1",7
"O=c1[nH]cnc2c(-n3cc(CCN4CCC(c5ccccc5)CC4)cn3)nccc12",7
"c1ccc(-c2ccccn2)nc1",7
"O=C(N[C@@H](CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)O[C@H]1CO[C@H]2OCC[C@H]12",7
"O=C(NCc1ccccc1)[C@@H]1CCCN1C(=O)CNS(=O)(=O)Cc1ccccc1",7
"O=S(=O)(NCc1ccccc1)c1ccccc1",7
"c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1",7
"O=C(NC1CCNCC1)c1cccc(Nc2ncc(C(=O)Nc3ccccc3)s2)c1",7
"C1=CC(c2ccccc2)C=CN1",7
"C=C1CCC(=CC=C2CCCC3CCC[C@H]23)CC1",7
"c1ccc(-c2ccc(-c3ccccc3)o2)cc1",7
"C(#Cc1cncnc1)Cc1ccccc1",7
"C=C1CCCc2ccccc21",7
"c1ccc(CCNCCCOc2ccccc2)cc1",7
"c1ccc2nc3ccccc3cc2c1",7
"O=c1ccnc(-c2cccc(S(=O)(=O)N3CCNCC3)c2)[nH]1",7
"O=C(NCc1ccc(-c2cncs2)cc1)[C@H]1CCCN1",7
"c1nncs1",7
"c1ccc(Nc2ccccn2)cc1",7
"O=c1cn[nH]c2nc[nH]c(=O)c12",7
"O=c1nc[nH]c2c1ncn2[C@@H]1CCCO1",7
"O=C(NN=Cc1ccccc1)c1ccccc1",7
"c1nc[nH]n1",7
"c1ccc(-c2[nH]c3ncncc3c2-c2ccccc2)cc1",7
"c1ccc(-c2nc3ccccc3o2)cc1",7
"c1ccc(CCNCCO[C@H]2CNC[C@H]2Cc2ccccn2)cc1",7
"c1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1",7
"O=c1nc[nH]c2c1ncn2[C@H]1CCCO1",7
"O=C1C=CCC1",7
"O=C(NCCCNCc1ccccc1)Nc1ccsc1",7
"C1CC[C@H](OC2CCOCC2)OC1",7
"N=C1c2ccccc2-c2ccccc21",7
"C1CC[SH+]C1",7
"O=c1[nH]cnc2cc[nH]c12",7
"O=C(Cc1ccccc1)N1CCC2(CC1)Oc1ccccc1O2",7
"O=c1[nH]c2ccccc2o1",6
"O=C1C[C@H](c2ccccc2)Oc2ccccc21",6
"O=C(NCC(=O)N1CCC[C@@H]1c1ccccc1)NCc1ccccc1",6
"O=c1ccn([C@@H]2CC[C@H](CO[PH](=O)O[PH](=O)O[C@@H]3CCCCO3)O2)c(=O)[nH]1",6
"O=c1[nH]n(-c2ccccn2)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12",6
"c1ccc(Sc2ccccc2)cc1",6
"c1ccc(O[C@H]2CCCCO2)cc1",6
"c1ccc(-c2cncc(-c3ccccc3)c2)cc1",6
"c1ccc(Cc2cncnc2)cc1",6
"O=C(NCc1cccc2ccccc12)c1cccc2c1OC1=CC=CC(=O)C12",6
"c1ccc(N2CCCCC2)cc1",6
"c1ccc(N=C(c2ccccc2)c2ccccc2)cc1",6
"O=c1ccn([C@H]2CC[C@H](CO[PH](=O)O[PH](=O)O[C@@H]3CCCCO3)O2)c(=O)[nH]1",6
"O=c1nc2[nH]c3ccccc3cc-2c(=O)[nH]1",6
"O=c1[nH]c2c(c(=O)[nH]1)Nc1ccccc1N2",6
"c1ccc2c(c1)Cc1ccccc1-2",6
"O=C(NCc1ccccc1)[C@H]1CCCN1",6
"O=c1ccn([C@H]2CCCO2)c(=S)[nH]1",6
"O=C(NCc1ccccc1)[C@H]1CCCN1C(=O)CCC1CCCCC1",6
"c1ccc(CCCNCCc2ccccc2)cc1",6
"c1ccc(-c2ccn[nH]2)cc1",6
"O=C(CCc1ccccc1)NCC[C@H]1CCNC1=O",6
"O=S(=O)(c1cccnc1)N1CCN(c2ccccc2)CC1",6
"O=S(=O)(Oc1ccccc1)[C@@H]1C[C@H]2O[C@H]1C(c1ccccc1)=C2c1ccccc1",6
"c1ccc2[nH+]cccc2c1",6
"c1ccc(CCc2cccnc2)nc1",6
"O=C(NC1CC1)[C@H]1C[C@@H](S(=O)(=O)c2ccccc2)CN1C(=O)C1(c2ccccc2)CC1",6
"c1ccc(Nc2cccc3ccccc23)cc1",6
"O=C(Nc1ncccn1)NS(=O)(=O)c1ccccc1",6
"c1ccc(NCc2cnc3ncncc3n2)cc1",6
"c1ccc(-c2c[nH]c3ncncc23)cc1",6
"O=C(CCc1c[nH]c2ccccc12)NC1CCN(Cc2c[nH]c3ccccc23)CC1",6
"c1ccc(C2CCNCC2)cc1",6
"c1ccc(Cc2n[nH]c3ncncc23)cc1",6
"O=C(NC(=O)c1ccccc1)Nc1ccccc1",6
"O=C(Nc1ccccc1)C(=O)N[C@@H]1CCc2ccccc21",6
"O=C(NCc1ccccc1)[C@H]1CCCN1C(=O)CCc1ccccc1",6
"O=C(Cc1ccccc1)NC[C@H]1NCCS1",6
"C1=NOCC1",6
"c1ccc(-c2cn[nH]c2-c2ccccc2)cc1",6
"N=C1CCCCN1",6
